user_id,registration_date,age,gender,city,country,first_order_date,last_order_date,total_orders,avg_order_items,total_revenue,avg_order_value,order_frequency_per_year,days_since_first_order,days_since_last_order,days_since_registration,registration_year,registration_month,days_until_first_order,age_class
87,2023-03-01 13:16:00+00:00,15,M,Frankfurt am Main,Germany,2023-05-22 13:16:00+00:00,2023-05-22 13:16:00+00:00,1,2.0,157.59000396728516,157.59000396728516,1.4938542872209803e-15,249.09314528777776,249.09314530208331,331.0931453171528,2023,3,82.0,0-18
156,2022-12-26 06:04:00+00:00,51,F,Berlin,Germany,2023-04-22 06:04:00+00:00,2023-05-31 06:04:00+00:00,2,1.0,300.0,150.0,2.6636935750107165e-15,279.39314528777777,240.39314530208333,396.39314531715274,2022,12,117.0,51-60
180,2022-05-15 16:35:00+00:00,18,F,Sèvremont,France,2023-04-06 16:35:00+00:00,2023-04-06 16:35:00+00:00,1,1.0,130.0,130.0,1.2615786306937013e-15,294.95495084333334,294.9549508576389,620.9549508727083,2022,5,326.0,19-30
184,2020-04-10 01:41:00+00:00,61,F,Sankt Ingbert,Germany,2023-05-04 01:41:00+00:00,2023-05-04 01:41:00+00:00,1,1.0,52.0,52.0,1.3906671866761122e-15,267.5757841766667,267.57578419097223,1386.5757842060416,2020,4,1119.0,61-70
293,2019-06-08 00:41:00+00:00,18,M,Mutxamel,Spain,2023-05-24 00:41:00+00:00,2023-05-24 00:41:00+00:00,1,1.0,45.0,45.0,1.5027570219237092e-15,247.61745084333333,247.6174508576389,1693.6174508727083,2019,6,1446.0,19-30
322,2021-06-27 03:30:00+00:00,20,M,Tabernes de la Valldigna,Spain,2023-06-16 03:30:00+00:00,2023-06-16 03:30:00+00:00,1,1.0,134.9499969482422,134.9499969482422,1.6574998408790737e-15,224.50008973222222,224.50008974652775,943.5000897615972,2021,6,719.0,19-30
345,2022-09-28 03:58:00+00:00,18,M,Bergisch Gladbach,Germany,2023-04-03 03:58:00+00:00,2023-04-03 03:58:00+00:00,1,2.0,66.45000076293945,66.45000076293945,1.2466766903502982e-15,298.48064528777775,298.4806453020833,485.4806453171528,2022,9,187.0,19-30
386,2021-07-29 10:57:00+00:00,36,F,Badalona,Spain,2023-06-28 10:57:00+00:00,2023-06-28 10:57:00+00:00,1,1.0,308.40999984741205,308.40999984741205,1.7536615125246516e-15,212.18967306555555,212.1896730798611,911.1896730949305,2021,7,699.0,31-40
426,2020-11-21 01:35:00+00:00,31,M,Livry-Gargan,France,2023-04-22 01:35:00+00:00,2023-04-22 01:35:00+00:00,1,2.0,71.0,71.0,1.3309568940122067e-15,279.57995084333334,279.5799508576389,1161.5799508727084,2020,11,882.0,31-40
462,2023-03-19 01:48:00+00:00,22,M,Baincthun,France,2023-06-11 01:48:00+00:00,2023-06-11 01:48:00+00:00,1,1.0,179.0,179.0,1.6208884733262528e-15,229.57092306555555,229.5709230798611,313.57092309493055,2023,3,84.0,19-30
470,2022-04-15 04:48:00+00:00,49,F,Campo de Criptana,Spain,2023-06-03 04:48:00+00:00,2023-06-03 04:48:00+00:00,1,1.0,49.950000762939446,49.950000762939446,1.567130983773979e-15,237.44592306555555,237.4459230798611,651.4459230949305,2022,4,414.0,41-50
528,2023-02-22 16:55:00+00:00,60,F,Antwerp,Belgium,2023-04-17 16:55:00+00:00,2023-05-01 16:55:00+00:00,2,1.0,324.5799980163574,162.2899990081787,2.6210288884659875e-15,283.9410619544444,269.94106196875,337.94106198381945,2023,2,54.0,61-70
617,2019-06-13 05:47:00+00:00,16,F,Auch,France,2023-05-25 05:47:00+00:00,2023-05-25 05:47:00+00:00,1,3.0,256.0799970626831,256.0799970626831,1.5101517308489214e-15,246.40495084333332,246.40495085763888,1688.4049508727082,2019,6,1442.0,0-18
690,2021-07-01 09:59:00+00:00,17,F,Saint-Ouen,France,2023-05-21 09:59:00+00:00,2023-05-21 09:59:00+00:00,1,1.0,289.9899973869324,289.9899973869324,1.4870676421878662e-15,250.2299508433333,250.22995085763887,939.2299508727083,2021,7,689.0,0-18
862,2020-05-18 16:56:00+00:00,64,M,Plymouth,United Kingdom,2023-05-31 16:56:00+00:00,2023-05-31 16:56:00+00:00,1,4.0,603.1900053024292,603.1900053024292,1.5508389308065822e-15,239.94036751,239.94036752430554,1347.940367539375,2020,5,1108.0,61-70
920,2021-07-14 03:13:00+00:00,56,F,Paris,France,2023-04-29 03:13:00+00:00,2023-04-29 03:13:00+00:00,1,4.0,238.44000148773196,238.44000148773196,1.3654775055239523e-15,272.51189528777775,272.5118953020833,926.5118953171527,2021,7,654.0,51-60
1006,2020-01-03 16:15:00+00:00,36,M,Tarragona,Spain,2023-06-27 16:15:00+00:00,2023-06-27 16:15:00+00:00,1,1.0,565.359992980957,565.359992980957,1.7472455758223117e-15,212.96883973222222,212.96883974652775,1483.968839761597,2020,1,1271.0,31-40
1085,2023-04-14 08:35:00+00:00,37,M,Reutlingen,Germany,2023-04-30 08:35:00+00:00,2023-04-30 08:35:00+00:00,1,1.0,62.77000045776367,62.77000045776367,1.3716363171840823e-15,271.28828417666665,271.2882841909722,287.2882842060417,2023,4,16.0,31-40
1203,2020-06-08 18:18:00+00:00,42,M,Brigstock,United Kingdom,2023-05-02 18:18:00+00:00,2023-05-02 18:18:00+00:00,1,2.0,76.94999885559082,76.94999885559082,1.3839040680197431e-15,268.8834230655556,268.8834230798611,1326.8834230949305,2020,6,1058.0,41-50
1246,2021-09-08 04:47:00+00:00,29,F,Madrid,Spain,2023-05-22 04:47:00+00:00,2023-05-22 04:47:00+00:00,1,4.0,285.2899990081787,285.2899990081787,1.491737457576667e-15,249.44661750999998,249.44661752430554,870.446617539375,2021,9,621.0,19-30
1266,2021-11-20 07:06:00+00:00,51,M,Lahr/Schwarzwald,Germany,2023-04-14 07:06:00+00:00,2023-04-14 07:06:00+00:00,1,4.0,271.98000144958496,271.98000144958496,1.2949669281420235e-15,287.3500897322222,287.3500897465278,797.3500897615972,2021,11,510.0,51-60
1373,2021-06-13 03:27:00+00:00,39,F,Vitoria-Gasteiz,Spain,2023-06-13 03:27:00+00:00,2023-06-13 03:27:00+00:00,1,1.0,198.48999977111816,198.48999977111816,1.6356277304695102e-15,227.50217306555555,227.5021730798611,957.5021730949305,2021,6,730.0,31-40
1383,2019-11-29 01:25:00+00:00,65,F,Markfield,United Kingdom,2023-04-14 01:25:00+00:00,2023-04-14 01:25:00+00:00,1,2.0,376.9600009918213,376.9600009918213,1.2939006230777494e-15,287.5868952877778,287.5868953020833,1519.5868953171528,2019,11,1232.0,61-70
